token_uid,token,RT,following_punct,preceding_punct,is_punct_non_alpha,transcript_id,exclude
0,The,175.66666666666666,False,False,False,13,0
1,renaissance,396.4,False,False,False,13,0
2,in,163.25,False,False,False,13,0
3,children's,354.2,False,False,True,13,1
4,literature,235.7,False,False,False,13,1
5,is,185.0,False,False,False,13,0
6,turning,326.77777777777777,False,False,False,13,0
7,out,186.8,False,False,False,13,0
8,to,214.75,False,False,False,13,0
9,be,178.14285714285714,False,False,False,13,0
10,one,139.33333333333334,False,False,False,13,0
11,of,147.33333333333334,False,False,False,13,0
12,the,183.33333333333334,False,False,False,13,0
13,most,109.2,False,False,False,13,0
14,striking,253.75,False,False,False,13,0
15,cultural,305.625,False,False,False,13,0
16,characteristics,363.8,False,False,False,13,0
17,of,0.0,False,False,False,13,0
18,our,244.25,False,False,False,13,0
19,times.,237.55555555555554,False,True,True,13,1
20,Whether,250.9,False,False,False,13,1
21,we,171.33333333333334,False,False,False,13,0
22,are,169.16666666666666,False,False,False,13,0
23,reassessing,489.5,False,False,False,13,0
24,the,237.875,False,False,False,13,0
25,achievements,204.0,False,False,False,13,0
26,of,173.5,False,False,False,13,0
27,the,206.0,False,False,False,13,0
28,"past,",246.4,False,True,True,13,1
29,as,125.5,False,False,False,13,1
30,with,281.625,False,False,False,13,0
31,the,246.0,False,False,False,13,0
32,film,190.75,False,False,False,13,0
33,of,188.5,False,False,False,13,0
34,The,179.5,False,False,False,13,0
35,Lord,227.0,False,False,False,13,0
36,of,145.75,False,False,False,13,0
37,the,171.5,False,False,False,13,0
38,"Rings,",140.9,False,True,True,13,1
39,or,137.0,False,False,False,13,1
40,falling,282.77777777777777,False,False,False,13,0
41,in,0.0,False,False,False,13,0
42,love,269.5,False,False,False,13,0
43,with,158.33333333333334,False,False,False,13,0
44,current,285.7142857142857,False,False,False,13,0
45,child-heroes,493.0,False,False,True,13,1
46,like,0.0,False,False,False,13,1
47,Harry,250.85714285714286,False,False,False,13,0
48,"Potter,",210.42857142857142,False,True,True,13,1
49,there,242.33333333333334,False,False,False,13,1
50,has,176.0,False,False,False,13,0
51,never,232.125,False,False,False,13,0
52,been,138.88888888888889,False,False,False,13,0
53,another,160.0,False,False,False,13,0
54,time,181.33333333333334,False,False,False,13,0
55,when,209.66666666666666,False,False,False,13,0
56,children's,222.33333333333334,False,False,True,13,1
57,literature,241.55555555555554,False,False,False,13,1
58,could,150.8,False,False,False,13,0
59,command,336.2857142857143,False,False,False,13,0
60,such,238.57142857142858,False,False,False,13,0
61,attention.,330.3333333333333,False,True,True,13,1
62,About,463.3333333333333,False,False,False,13,1
63,six,184.0,False,False,False,13,0
64,months,242.28571428571428,False,False,False,13,0
65,ago,145.75,False,False,False,13,0
66,I,150.66666666666666,False,False,False,13,0
67,wrote,194.11111111111111,False,False,False,13,0
68,on,204.25,False,False,False,13,0
69,these,279.1,False,False,False,13,0
70,pages,252.0,False,False,False,13,0
71,that,178.25,False,False,False,13,0
72,Philip,190.9,False,False,False,13,0
73,Pullman's,271.3,False,False,True,13,1
74,novel,217.0,False,False,False,13,1
75,The,170.5,False,False,False,13,0
76,Amber,196.22222222222223,False,False,False,13,0
77,Spyglass,373.6,False,False,False,13,0
78,would,212.5,False,False,False,13,0
79,be,149.33333333333334,False,False,False,13,0
80,a,0.0,False,False,False,13,0
81,worthy,251.66666666666666,False,False,False,13,0
82,winner,248.66666666666666,False,False,False,13,0
83,of,182.33333333333334,False,False,False,13,0
84,the,179.66666666666666,False,False,False,13,0
85,Booker,232.7,False,False,False,13,0
86,Prize.,162.66666666666666,False,True,True,13,1
87,In,195.0,False,False,False,13,1
88,the,243.8,False,False,False,13,0
89,event,252.0,False,False,False,13,0
90,it,184.0,False,False,False,13,0
91,didn't,199.33333333333334,False,False,True,13,1
92,make,277.0,False,False,False,13,1
93,the,0.0,False,False,False,13,0
94,"shortlist,",235.5,False,True,True,13,1
95,but,145.66666666666666,False,False,False,13,1
96,it,203.66666666666666,False,False,False,13,0
97,lived,242.2,False,False,False,13,0
98,to,209.66666666666666,False,False,False,13,0
99,fight,302.1111111111111,False,False,False,13,0
100,another,228.55555555555554,False,False,False,13,0
101,day.,218.4,False,True,True,13,1
102,On,0.0,False,False,False,13,1
103,Tuesday,261.55555555555554,False,False,False,13,0
104,"night,",207.77777777777777,False,True,True,13,1
105,Pullman,143.77777777777777,False,False,False,13,1
106,walked,190.25,False,False,False,13,0
107,away,201.6,False,False,False,13,0
108,with,201.5,False,False,False,13,0
109,the,271.6666666666667,False,False,False,13,0
110,Whitbread,335.8,False,False,False,13,0
111,Prize.,219.0,False,True,True,13,1
112,That,265.75,False,False,False,13,1
113,prize,327.875,False,False,False,13,0
114,thrives,367.3333333333333,False,False,False,13,0
115,on,227.0,False,False,False,13,0
116,the,154.33333333333334,False,False,False,13,0
117,neat,289.44444444444446,False,False,False,13,0
118,concept,228.125,False,False,False,13,0
119,of,172.0,False,False,False,13,0
120,first,189.33333333333334,False,False,False,13,0
121,dividing,273.375,False,False,False,13,0
122,books,368.1666666666667,False,False,False,13,0
123,up,230.25,False,False,False,13,0
124,into,205.4,False,False,False,13,0
125,categories,333.875,False,False,False,13,1
126,-,0.0,True,True,True,13,1
127,novel,249.28571428571428,False,False,False,13,1
128,of,149.33333333333334,False,False,False,13,0
129,the,191.8,False,False,False,13,0
130,"year,",277.42857142857144,False,True,True,13,1
131,children's,406.44444444444446,False,False,True,13,1
132,book,300.8,False,False,False,13,1
133,of,217.66666666666666,False,False,False,13,0
134,the,162.71428571428572,False,False,False,13,0
135,"year,",169.0,False,True,True,13,1
136,and,0.0,False,False,False,13,1
137,so,257.0,False,False,False,13,0
138,on,216.11111111111111,False,False,False,13,1
139,-,182.33333333333334,True,True,True,13,1
140,and,83.0,False,False,False,13,1
141,then,181.0,False,False,False,13,0
142,breaking,213.125,False,False,False,13,0
143,down,172.0,False,False,False,13,0
144,the,174.42857142857142,False,False,False,13,0
145,categories,237.11111111111111,False,False,False,13,0
146,for,174.25,False,False,False,13,0
147,its,179.33333333333334,False,False,False,13,0
148,overall,242.5,False,False,False,13,0
149,prize.,279.0,False,True,True,13,1
150,That,189.66666666666666,False,False,False,13,1
151,meant,245.66666666666666,False,False,False,13,0
152,that,248.8,False,False,False,13,0
153,these,263.125,False,False,False,13,0
154,judges,220.77777777777777,False,False,False,13,0
155,could,258.57142857142856,False,False,False,13,0
156,give,197.0,False,False,False,13,0
157,the,140.0,False,False,False,13,0
158,award,209.11111111111111,False,False,False,13,0
159,to,207.0,False,False,False,13,0
160,Philip,228.77777777777777,False,False,False,13,0
161,Pullman,254.71428571428572,False,False,False,13,0
162,without,387.6666666666667,False,False,False,13,0
163,being,220.4,False,False,False,13,0
164,accused,261.57142857142856,False,False,False,13,0
165,of,215.0,False,False,False,13,0
166,dumbing,239.0,False,False,False,13,0
167,down,272.6666666666667,False,False,False,13,0
168,to,204.0,False,False,False,13,0
169,the,248.42857142857142,False,False,False,13,0
170,level,354.85714285714283,False,False,False,13,0
171,of,217.75,False,False,False,13,0
172,a,158.66666666666666,False,False,False,13,0
173,children's,378.25,False,False,True,13,1
174,book.,195.71428571428572,False,True,True,13,1
175,"Peculiarly,",419.125,False,True,True,13,1
176,this,197.0,False,False,False,13,1
177,still,259.0,False,False,False,13,0
178,seems,305.875,False,False,False,13,0
179,to,185.66666666666666,False,False,False,13,0
180,be,235.66666666666666,False,False,False,13,0
181,a,145.0,False,False,False,13,0
182,very,284.125,False,False,False,13,0
183,real,323.25,False,False,False,13,0
184,fear.,340.375,False,True,True,13,1
185,Although,327.3,False,False,False,13,1
186,we,101.0,False,False,False,13,0
187,are,253.66666666666666,False,False,False,13,0
188,currently,227.625,False,False,False,13,0
189,seeing,225.33333333333334,False,False,False,13,0
190,such,299.0,False,False,False,13,0
191,an,145.0,False,False,False,13,0
192,unexpected,370.7142857142857,False,False,False,13,0
193,outpouring,276.75,False,False,False,13,0
194,of,200.5,False,False,False,13,0
195,energy,317.0,False,False,False,13,0
196,in,204.66666666666666,False,False,False,13,0
197,literature,246.25,False,False,False,13,0
198,for,285.4,False,False,False,13,0
199,"children,",274.3333333333333,False,True,True,13,1
200,many,378.2,False,False,False,13,1
201,commentators,347.9,False,False,False,13,0
202,are,208.5,False,False,False,13,0
203,still,197.66666666666666,False,False,False,13,0
204,afraid,263.3,False,False,False,13,0
205,to,226.0,False,False,False,13,0
206,admit,233.0,False,False,False,13,0
207,that,192.66666666666666,False,False,False,13,0
208,these,191.55555555555554,False,False,False,13,0
209,books,205.875,False,False,False,13,0
210,can,220.5,False,False,False,13,0
211,stand,258.125,False,False,False,13,0
212,alongside,193.8,False,False,False,13,0
213,other,224.75,False,False,False,13,0
214,literature.,293.3333333333333,False,True,True,13,1
215,Novelists,262.22222222222223,False,False,False,13,1
216,such,212.16666666666666,False,False,False,13,0
217,as,152.25,False,False,False,13,0
218,Philip,251.6,False,False,False,13,0
219,Hensher,353.1111111111111,False,False,False,13,0
220,and,357.0,False,False,False,13,0
221,Howard,335.22222222222223,False,False,False,13,0
222,Jacobson,300.1111111111111,False,False,False,13,0
223,have,172.0,False,False,False,13,0
224,mocked,208.2,False,False,False,13,0
225,the,169.5,False,False,False,13,0
226,adults,336.42857142857144,False,False,False,13,0
227,who,216.0,False,False,False,13,0
228,eagerly,434.0,False,False,False,13,0
229,turn,200.0,False,False,False,13,0
230,the,160.25,False,False,False,13,0
231,pages,205.75,False,False,False,13,0
232,of,190.5,False,False,False,13,0
233,the,158.0,False,False,False,13,0
234,Harry,256.3333333333333,False,False,False,13,0
235,Potter,139.25,False,False,False,13,0
236,"books,",250.625,False,True,True,13,1
237,"or,",238.0,False,True,True,13,1
238,even,277.0,False,False,False,13,1
239,"worse,",344.2,False,True,True,13,1
240,queue,138.5,False,False,False,13,1
241,up,247.0,False,False,False,13,0
242,to,147.0,False,False,False,13,0
243,see,207.6,False,False,False,13,0
244,the,266.75,False,False,False,13,0
245,film,239.66666666666666,False,False,False,13,0
246,without,225.25,False,False,False,13,0
247,the,186.8,False,False,False,13,0
248,excuse,208.75,False,False,False,13,0
249,of,240.33333333333334,False,False,False,13,0
250,a,213.5,False,False,False,13,0
251,seven-year-old,455.6,False,False,True,13,1
252,child,249.625,False,False,False,13,1
253,by,160.5,False,False,False,13,0
254,their,138.0,False,False,False,13,0
255,side.,225.66666666666666,False,True,True,13,1
256,And,171.6,False,False,False,13,1
257,when,188.5,False,False,False,13,0
258,Peter,256.57142857142856,False,False,False,13,0
259,Jackson's,317.77777777777777,False,False,True,13,1
260,film,194.0,False,False,False,13,1
261,of,197.33333333333334,False,False,False,13,0
262,The,190.0,False,False,False,13,0
263,Lord,205.28571428571428,False,False,False,13,0
264,of,147.0,False,False,False,13,0
265,the,174.25,False,False,False,13,0
266,Rings,233.5,False,False,False,13,0
267,was,219.8,False,False,False,13,0
268,"released,",309.14285714285717,False,True,True,13,1
269,sceptical,312.3,False,False,False,13,1
270,critics,230.66666666666666,False,False,False,13,0
271,such,211.16666666666666,False,False,False,13,0
