index,token_uid,token,RT,transcript_id,exclude
1,10001,If,369.011904761905,1,0
2,10002,you,368.183908045977,1,0
3,10003,were,344.318181818182,1,0
4,10004,to,354.639534883721,1,0
5,10005,journey,349.674157303371,1,0
6,10006,to,376.370786516854,1,0
7,10007,the,327.310344827586,1,0
8,10008,North,365.494382022472,1,0
9,10009,of,344.931034482759,1,1
10,10010,"England,",400.269662921348,1,1
11,10011,you,372.590909090909,1,1
12,10012,would,350.379310344828,1,0
13,10013,come,319.080459770115,1,0
14,10014,to,355.931034482759,1,0
15,10015,a,343.858823529412,1,0
16,10016,valley,330.732558139535,1,0
17,10017,that,346.779069767442,1,0
18,10018,is,360.287356321839,1,0
19,10019,surrounded,337.046511627907,1,0
20,10020,by,359.364705882353,1,0
21,10021,moors,395.43023255814,1,0
22,10022,as,414.597701149425,1,0
23,10023,high,390.953488372093,1,0
24,10024,as,434.036144578313,1,1
25,10025,mountains.,457.345238095238,1,1
26,10026,It,399.928571428571,1,1
27,10027,is,325.247058823529,1,0
28,10028,in,318.267441860465,1,0
29,10029,this,341.223529411765,1,0
30,10030,valley,375.8,1,0
31,10031,where,363.129411764706,1,0
32,10032,you,365.436781609195,1,0
33,10033,would,323.558139534884,1,0
34,10034,find,305.329411764706,1,0
35,10035,the,355.857142857143,1,0
36,10036,city,320.298850574713,1,0
37,10037,of,418.436781609195,1,1
38,10038,"Bradford,",440.576470588235,1,1
39,10039,where,377.309523809524,1,1
40,10040,once,353.954022988506,1,0
41,10041,a,397.413793103448,1,0
42,10042,thousand,455.139534883721,1,0
43,10043,spinning,459.02380952381,1,0
44,10044,jennies,539.317647058824,1,0
45,10045,that,538.53488372093,1,0
46,10046,hummed,432.313953488372,1,0
47,10047,and,407.406976744186,1,0
48,10048,clattered,414.811764705882,1,0
49,10049,spun,453.964705882353,1,0
50,10050,wool,426.872093023256,1,0
51,10051,into,392.559523809524,1,0
52,10052,money,384.206896551724,1,0
53,10053,for,385.471264367816,1,0
54,10054,the,462.647058823529,1,1
55,10055,long-bearded,441.197674418605,1,1
56,10056,mill,476.869047619048,1,1
57,10057,owners.,480.586206896552,1,1
58,10058,That,415.689655172414,1,1
59,10059,all,439.011494252874,1,0
60,10060,mill,429.528735632184,1,0
61,10061,owners,381.528735632184,1,0
62,10062,were,387.197674418605,1,0
63,10063,generally,378.540229885057,1,0
64,10064,busy,369.511904761905,1,0
65,10065,as,388.720930232558,1,0
66,10066,beavers,359.790697674419,1,0
67,10067,and,362.505747126437,1,0
68,10068,quite,385.735632183908,1,0
69,10069,pleased,343.93023255814,1,0
70,10070,with,370.379310344828,1,0
71,10071,themselves,371.470588235294,1,0
72,10072,for,349.058139534884,1,0
73,10073,being,339.46511627907,1,0
74,10074,so,345.964705882353,1,0
75,10075,successful,380.476744186047,1,0
76,10076,and,362.952941176471,1,0
77,10077,well,361.27380952381,1,0
78,10078,off,357.091954022988,1,0
79,10079,was,353.413793103448,1,0
80,10080,known,357.023255813953,1,0
81,10081,to,344.453488372093,1,0
82,10082,the,381.802325581395,1,0
83,10083,residents,365.5,1,0
84,10084,of,388.96511627907,1,1
85,10085,"Bradford,",399.611764705882,1,1
86,10086,and,367.630952380952,1,1
87,10087,if,328.686046511628,1,0
88,10088,you,329.862068965517,1,0
89,10089,were,331.604651162791,1,0
90,10090,to,315.418604651163,1,0
91,10091,go,344.793103448276,1,0
92,10092,into,332.282352941176,1,0
93,10093,the,326.129411764706,1,0
94,10094,city,319.583333333333,1,0
95,10095,to,319.081395348837,1,0
96,10096,visit,330.918604651163,1,0
97,10097,the,370.732558139535,1,0
98,10098,stately,393.697674418605,1,0
99,10099,City,385.627906976744,1,1
100,10100,"Hall,",395.390804597701,1,1
101,10101,you,334.367816091954,1,1
102,10102,would,327.793103448276,1,0
103,10103,see,333.441860465116,1,0
104,10104,there,341.116279069767,1,0
105,10105,the,391.229885057471,1,0
106,10106,Crest,381.244186046512,1,0
107,10107,of,333.638554216867,1,0
108,10108,the,341.714285714286,1,0
109,10109,City,353.953488372093,1,0
110,10110,of,357.917647058824,1,1
111,10111,"Bradford,",387.588235294118,1,1
112,10112,which,374.152941176471,1,1
113,10113,those,356.635294117647,1,0
114,10114,same,394.091954022988,1,0
115,10115,mill,350.5,1,0
116,10116,owners,380.058139534884,1,0
117,10117,created,360.837209302326,1,0
118,10118,to,371.529411764706,1,0
119,10119,celebrate,342.952941176471,1,0
120,10120,their,400.261904761905,1,1
121,10121,achievements.,419.186046511628,1,1
122,10122,It,388.620689655172,1,1
123,10123,shows,338.908045977012,1,0
124,10124,a,380.290697674419,1,0
125,10125,sinister,426.883720930233,1,0
126,10126,looking,407.517647058824,1,1
127,10127,boar's,406.383720930233,1,1
128,10128,head,424.83908045977,1,1
129,10129,sitting,356.848837209302,1,0
130,10130,on,340.744186046512,1,0
131,10131,top,349.919540229885,1,0
132,10132,of,350.045977011494,1,0
133,10133,a,343.139534883721,1,0
134,10134,well,375.662790697674,1,0
135,10135,which,423.235294117647,1,0
136,10136,seems,425.964705882353,1,0
137,10137,puzzling,375.206896551724,1,0
138,10138,at,353.517647058824,1,1
139,10139,"first,",343.744186046512,1,1
140,10140,but,331.104651162791,1,1
141,10141,the,358.850574712644,1,0
142,10142,reason,340.873563218391,1,0
143,10143,for,341.310344827586,1,0
144,10144,this,340.558139534884,1,0
145,10145,symbol,348.885057471264,1,0
146,10146,is,328.151162790698,1,0
147,10147,a,355.448275862069,1,0
148,10148,matter,327.264367816092,1,0
149,10149,of,372.411764705882,1,1
150,10150,legend.,392.724137931034,1,1
151,10151,There,364.287356321839,1,1
152,10152,was,331.655172413793,1,1
153,10153,"once,",342.896551724138,1,1
154,10154,legend,455.287356321839,1,1
155,10155,has,376.022988505747,1,1
156,10156,"it,",358.206896551724,1,1
157,10157,a,369.045977011494,1,1
158,10158,fearsome,369.976744186047,1,1
159,10159,"boar,",375.023255813953,1,1
160,10160,which,363.383720930233,1,1
161,10161,lived,324.905882352941,1,0
162,10162,in,302.56976744186,1,0
163,10163,a,363.197674418605,1,0
