,token,transcript_id,sentence_id,surprisal,oov
0,Ġif,1,0,7.219502068600329,False
1,Ġyou,1,0,1.6320807525066934,False
2,Ġwere,1,0,5.154401772760278,False
3,Ġto,1,0,2.490623371425931,False
4,Ġjourney,1,0,17.18602688202922,False
5,Ġto,1,0,3.5732635583405266,False
6,Ġthe,1,0,1.9353337175889767,False
7,Ġnorth,1,0,8.892316160331621,False
8,Ġof,1,0,3.1085277025312963,False
9,Ġeng,1,0,4.067006955557646,False
10,land,1,0,0.058470098390012416,False
11,Ġyou,1,0,12.29773946768313,False
12,Ġwould,1,0,6.999341678215535,False
13,Ġcome,1,0,6.746400811756691,False
14,Ġto,1,0,3.3725426420913607,False
15,Ġa,1,0,4.77672536961071,False
16,Ġvalley,1,0,15.42566407384608,False
17,Ġthat,1,0,8.682220625100348,False
18,Ġis,1,0,6.170545446451065,False
19,Ġsurrounded,1,0,13.589005418429004,False
20,Ġby,1,0,0.39886025318611723,False
21,Ġmo,1,0,12.6237804235427,False
22,ors,1,0,6.029224441412068,False
23,Ġas,1,0,8.858456967487104,False
24,Ġhigh,1,0,9.393219322310136,False
25,Ġas,1,0,0.6515015668486843,False
26,Ġmountains,1,0,15.390955054940836,False
27,Ġit,1,1,5.614101834952899,False
28,Ġis,1,1,3.0753634979144477,False
29,Ġin,1,1,6.748782383951106,False
30,Ġthis,1,1,3.3174065133582906,False
31,Ġvalley,1,1,14.236054902571382,False
32,Ġwhere,1,1,8.425919262858029,False
33,Ġyou,1,1,4.543696806885121,False
34,Ġwould,1,1,5.913101610683491,False
35,Ġfind,1,1,6.029371755156053,False
36,Ġthe,1,1,5.101666224446653,False
37,Ġcity,1,1,9.465043484605706,False
38,Ġof,1,1,2.7485588470138187,False
39,Ġbr,1,1,13.135762212676347,False
40,ad,1,1,2.298535951385038,False
41,ford,1,1,4.073348574633364,False
42,Ġwhere,1,1,10.657481713372405,False
43,Ġonce,1,1,10.718601868947813,False
44,Ġa,1,1,4.895547764298271,False
45,Ġthousand,1,1,11.870440113068641,False
46,Ġspinning,1,1,17.036223060565785,False
47,Ġj,1,1,10.650710033205378,False
48,enn,1,1,5.669194007165586,False
49,ies,1,1,10.829429324986712,False
50,Ġthat,1,1,5.741915516084459,False
51,Ġhum,1,1,14.712516655198495,False
52,med,1,1,3.6602158917320495,False
53,Ġand,1,1,5.402590582961558,False
54,Ġcl,1,1,11.023111257904361,False
