You	261.4
don't	191.0
actually	204.88888888888889
need	218.6
computers	338.7
for	142.66666666666666
special	267.3
effects,	212.7
as	154.25
the	233.14285714285714
Bafta	260.6
Award	180.57142857142858
ceremony	241.33333333333334
demonstrated	284.77777777777777
on	98.5
Sunday	225.5
evening.	204.33333333333334
As	224.0
the	239.6
stars	267.3
arrived,	251.3
an	232.0
unforeseen	287.4
combination	179.66666666666666
of	0
household	245.4
chemicals	230.9
and	161.25
the	189.6
worst	274.9
of	0
English	229.7
weather	176.6
added	171.22222222222223
a	110.66666666666667
mildly	225.5
uncanny	309.8333333333333
detail	165.77777777777777
to	285.8
the	203.33333333333334
clich�s	362.5
of	180.0
photographer's	280.6
flashes	315.1
and	171.0
red	216.66666666666666
carpet.	255.55555555555554
A	155.0
sebaceous	490.8
slime	269.2857142857143
appeared	363.875
beneath	245.5
the	0
feet	181.5
of	211.75
the	178.0
celebrities,	393.77777777777777
a	0
copious	456.1111111111111
froth	256.77777777777777
which	207.85714285714286
seemed	216.375
like	133.25
a	135.33333333333334
manifestation	371.8
of	177.0
some	194.625
otherwise	301.55555555555554
intangible	370.6
presence,	323.7
a	129.0
kind	198.42857142857142
of	374.5
miasma	506.5
of	250.8
ego,	352.7142857142857
perhaps.	286.3333333333333
I	181.0
can't	289.77777777777777
have	374.2857142857143
been	325.2
alone,	312.7142857142857
though,	242.85714285714286
in	282.5
thinking	256.0
how	132.6
much	329.0
more	200.25
powerful	271.77777777777777
the	221.0
scene	253.66666666666666
would	197.875
have	169.75
been	236.0
with	247.83333333333334
a	200.66666666666666
bit	227.625
of	184.0
post-production	527.6666666666666
CGI	317.0
work.	321.4
You	130.0
can	167.25
easily	429.0
imagine	286.55555555555554
a	0
Stephen	222.22222222222223
King	133.5
rationale.	312.22222222222223
A	175.0
red	199.16666666666666
carpet	238.375
haunted	184.375
by	141.75
the	273.0
spirit	119.0
of	109.0
a	184.5
murdered	307.5
extra	350.0
decides	420.0
that	157.33333333333334
it	238.75
isn't	237.28571428571428
going	376.6666666666667
to	186.33333333333334
let	213.66666666666666
the	271.4
stars	352.14285714285717
walk	287.4
all	203.16666666666666
over	144.16666666666666
it	164.5
anymore	236.55555555555554
